#sl_no Z X M L T_eff
303 0.013 0.71847 2.38192 125.912 5102.91138
304 0.013 0.71847 2.02862 91.90696 4364.63013
305 0.013 0.71847 2.69307 144.09897 7875.56763
306 0.013 0.71847 2.10175 108.7904 7518.73169
307 0.013 0.71847 2.95283 267.43336 6403.10669
308 0.013 0.71847 2.5628 178.41622 7272.63794
309 0.013 0.71847 2.98084 366.38217 5435.13794
310 0.013 0.71847 2.04304 60.62955 5041.38794
311 0.013 0.71847 2.46779 104.00622 6157.01294
312 0.013 0.71847 2.27743 152.43158 4048.80981
313 0.013 0.71847 2.75091 261.48691 5164.43481
314 0.013 0.71847 2.17239 64.86064 6263.65356
315 0.013 0.71847 2.57493 121.73591 6821.46606
316 0.013 0.71847 2.25735 75.70418 6418.48755
317 0.013 0.71847 2.72666 186.09936 7534.11255
318 0.013 0.71847 2.6009 94.79297 4466.1438
319 0.013 0.71847 2.32222 162.61145 5581.7688
320 0.013 0.71847 2.81829 138.92863 6557.94067
321 0.013 0.71847 2.12295 106.07285 5147.00317
322 0.013 0.71847 2.9826 181.96139 4031.37817
323 0.013 0.71847 2.02503 45.13469 7394.65942
324 0.013 0.71847 2.44604 110.95209 4310.28442
325 0.013 0.71847 2.64424 157.21815 6488.21411
326 0.013 0.71847 2.10796 53.426 4256.96411
327 0.013 0.71847 2.36092 91.64899 7472.58911
328 0.013 0.71847 2.5104 117.36796 7612.04224
329 0.013 0.71847 2.28416 74.8578 7054.22974
330 0.013 0.71847 2.17881 134.32081 5364.38599
331 0.013 0.71847 2.83833 230.41901 4380.01099
332 0.013 0.71847 2.13552 99.71231 4837.33521
333 0.013 0.71847 2.78193 171.05028 5952.96021
334 0.013 0.71847 2.55525 87.12746 6034.99146
335 0.013 0.71847 2.46052 214.18055 7150.61646
336 0.013 0.71847 2.00837 81.44382 7782.25708
337 0.013 0.71847 2.76883 127.69405 3943.19458
338 0.013 0.71847 2.5917 250.69138 8061.16333
339 0.013 0.71847 2.06608 41.48484 5829.91333
340 0.013 0.71847 2.31401 146.13842 6945.53833
341 0.013 0.71847 2.48974 202.47246 4907.06177
342 0.013 0.71847 2.89586 415.78227 6744.56177
343 0.013 0.71847 2.39744 82.36467 5891.43677
344 0.013 0.71847 2.92334 231.71797 5612.53052
345 0.013 0.71847 2.1507 56.19858 5489.48364
346 0.013 0.71847 2.64736 151.15163 4997.29614
347 0.013 0.71847 2.2125 120.71371 7999.63989
348 0.013 0.71847 2.67248 296.74376 7015.26489
349 0.013 0.71847 2.38685 118.1956 6287.75024
350 0.013 0.71847 2.85597 147.99859 4597.90649
351 0.013 0.71847 2.07158 94.39415 7124.46899
352 0.013 0.71847 2.91043 161.9273 6008.84399
353 0.013 0.71847 2.66068 105.62657 6689.70337
354 0.013 0.71847 2.3756 181.19583 7805.32837
355 0.013 0.71847 2.22363 84.35619 4179.54712
356 0.013 0.71847 2.68593 207.3681 5295.17212
357 0.013 0.71847 2.79593 245.46192 6357.47681
358 0.013 0.71847 2.5681 125.03033 5652.00806
359 0.013 0.71847 2.25004 66.6159 5094.19556
360 0.013 0.71847 2.58025 175.18614 4249.27368
361 0.013 0.71847 2.05696 59.5319 6480.52368
362 0.013 0.71847 2.30379 102.12328 5233.64868
363 0.013 0.71847 2.63256 225.61244 5822.2229
364 0.013 0.71847 2.3505 131.51886 4706.5979
365 0.013 0.71847 2.04003 87.74185 5543.31665
366 0.013 0.71847 2.70821 114.91965 6166.75415
367 0.013 0.71847 2.52302 82.01814 4074.95728
368 0.013 0.71847 2.42949 201.6206 5190.58228
369 0.013 0.71847 2.18977 93.865 6814.80103
370 0.013 0.71847 2.8526 161.01957 7930.42603
371 0.013 0.71847 2.907 147.16894 5469.48853
372 0.013 0.71847 2.26871 108.63762 5760.69946
373 0.013 0.71847 2.74037 267.05777 4776.32446
374 0.013 0.71847 2.20533 60.5444 7713.04321
375 0.013 0.71847 2.61398 136.03056 7220.85571
376 0.013 0.71847 2.96943 261.11968 7589.99634
377 0.013 0.71847 2.52899 190.5991 6884.52759
